Using AOMedia Project AV1 Decoder v3.11.0
[ANGLE_READ] sym 0, injected 0, total_bits 1, payload_bits 1, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 2, payload_bits 2, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 3, payload_bits 3, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 4, payload_bits 4, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 5, payload_bits 5, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 6, payload_bits 6, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 7, payload_bits 7, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 8, payload_bits 8, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 9, payload_bits 9, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 10, payload_bits 10, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 11, payload_bits 11, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 12, payload_bits 12, keyword_buffer 000001, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 13, payload_bits 13, keyword_buffer 000002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 14, payload_bits 14, keyword_buffer 000004, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 15, payload_bits 15, keyword_buffer 000008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 16, payload_bits 16, keyword_buffer 000011, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 17, payload_bits 17, keyword_buffer 000022, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 18, payload_bits 18, keyword_buffer 000044, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 19, payload_bits 19, keyword_buffer 000088, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 20, payload_bits 20, keyword_buffer 000110, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 21, payload_bits 21, keyword_buffer 000220, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 22, payload_bits 22, keyword_buffer 000440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 23, payload_bits 23, keyword_buffer 000880, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 24, payload_bits 24, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 25, payload_bits 25, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 26, payload_bits 26, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 27, payload_bits 27, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 28, payload_bits 28, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 29, payload_bits 29, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 30, payload_bits 30, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 31, payload_bits 31, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 32, payload_bits 32, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 33, payload_bits 33, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 34, payload_bits 34, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 35, payload_bits 35, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 36, payload_bits 36, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 37, payload_bits 37, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 38, payload_bits 38, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 39, payload_bits 39, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 40, payload_bits 40, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 41, payload_bits 41, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 42, payload_bits 42, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 43, payload_bits 43, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 44, payload_bits 44, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 45, payload_bits 45, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 46, payload_bits 46, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 47, payload_bits 47, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 48, payload_bits 48, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 49, payload_bits 49, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 50, payload_bits 50, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 51, payload_bits 51, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 52, payload_bits 52, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 53, payload_bits 53, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 54, payload_bits 54, keyword_buffer 400440, end_found 0
