Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:    922, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3924, rd_minus:   2382, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 2 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    700, rd_minus:    780, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 3 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1390, rd_minus:   1086, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2056, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 5 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  10372, rd_minus:   9732, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 6 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3864, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 7 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4882, rd_minus:   5258, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 8 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3124, rd_minus:   3984, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 9 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6368, rd_minus:   7562, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 10 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4016, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 11 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1854, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 12 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2816, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 13 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4370, rd_minus:   3206, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 14 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3660, rd_minus:   3516, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 15 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3766, rd_minus:   3838, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 16 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5004, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 17 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4806, rd_minus:   5024, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 18 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4384, rd_minus:   5316, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 19 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5936, rd_minus:   5492, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 20 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1432, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 21 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2512, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 22 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4008, rd_minus:   4246, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 23 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2770, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 24 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2246, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 25 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1858, rd_minus:   1856, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 26 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1638, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 27 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    824, rd_minus:    858, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 28 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1918, rd_minus:   1742, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 29 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1462, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 30 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1400, rd_minus:   1466, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 31 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1868, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 32 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1548, rd_minus:   1698, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 33 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2040, rd_minus:   2038, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 34 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7544, rd_minus:   7644, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 35 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7790, rd_minus:   7860, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 36 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1688, rd_minus:   1550, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 37 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5704, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 38 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  13656, rd_minus:  12016, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 39 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7416, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 40 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7832, rd_minus:  11012, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 41 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1044, rd_minus:   1288, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 42 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  17380, rd_minus:  17422, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 43 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7526, rd_minus:   7404, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 44 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3232, rd_minus:   3282, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 45 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6342, rd_minus:   3504, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 46 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    158, rd_minus:    120, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 47 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     66, rd_minus:     66, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5322, rd_minus:   7718, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 49 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7884, rd_minus:   5668, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 50 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2744, rd_minus:   5248, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 51 / 8216, payload_bits 8192, end_bits 24
