Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:  10442, rd_minus:   6220, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  18032, rd_minus:  18190, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  11254, rd_minus:  10386, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 3 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3972, rd_minus:   5358, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    378, rd_minus:    308, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 5 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    298, rd_minus:    488, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 6 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  19290, rd_minus:  19290, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 7 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1520, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 8 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    574, rd_minus:    736, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 9 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1726, rd_minus:   1944, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 10 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    268, rd_minus:    256, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 11 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1954, rd_minus:   1922, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 12 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5472, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 13 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3920, rd_minus:   3610, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 14 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1484, rd_minus:   1568, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 15 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4600, rd_minus:   5588, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 16 / 8216, payload_bits 8192, end_bits 24
