Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   6920, rd_minus:   7136, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3030, rd_minus:   3166, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3354, rd_minus:   3362, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 3 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    206, rd_minus:    244, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1108, rd_minus:   1070, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 5 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    144, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 6 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     76, rd_minus:     92, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 7 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1984, rd_minus:   2044, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 8 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1620, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 9 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1496, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 10 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1066, rd_minus:    992, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 11 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2384, rd_minus:   2748, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 12 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1778, rd_minus:   1532, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 13 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2616, rd_minus:   2482, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 14 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    728, rd_minus:    656, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 15 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1848, rd_minus:   1664, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 16 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1322, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 17 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5468, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 18 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4272, rd_minus:   3680, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 19 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1824, rd_minus:   2060, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 20 / 8216, payload_bits 8192, end_bits 24
