Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   4644, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    552, rd_minus:    570, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 2 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1824, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 3 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6160, rd_minus:   7980, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5718, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 5 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    872, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 6 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6552, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 7 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3252, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 8 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3236, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 9 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6512, rd_minus:   8856, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 10 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9248, rd_minus:   9840, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 11 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1602, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 12 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    960, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 13 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    492, rd_minus:    392, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 14 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1864, rd_minus:   1388, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 15 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1872, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 16 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1782, rd_minus:   1766, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 17 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1702, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 18 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4846, rd_minus:   5292, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 19 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5974, rd_minus:   4024, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 20 / 2072, payload_bits 2048, end_bits 24
