Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   7904, rd_minus:   7886, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3972, rd_minus:   3850, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4492, rd_minus:   4444, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 3 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1096, rd_minus:    342, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2224, rd_minus:   2244, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 5 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4808, rd_minus:  13888, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 6 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10328, rd_minus:   5936, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 7 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4386, rd_minus:   4642, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 8 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    964, rd_minus:    344, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 9 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    130, rd_minus:    128, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 10 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1064, rd_minus:   1372, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 11 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    120, rd_minus:    104, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 12 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    336, rd_minus:    322, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 13 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3452, rd_minus:   3826, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 14 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    144, rd_minus:    142, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 15 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  24670, rd_minus:  21650, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 16 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5560, rd_minus:   5910, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 17 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1970, rd_minus:   1866, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 18 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2656, rd_minus:   2672, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 19 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5222, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 20 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3612, rd_minus:   2758, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 21 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1308, rd_minus:   1112, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 22 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2124, rd_minus:   2238, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 23 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2518, rd_minus:   1738, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 24 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    252, rd_minus:    436, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 25 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4258, rd_minus:   3876, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 26 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2314, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 27 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1564, rd_minus:   2600, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 28 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    414, rd_minus:    238, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 29 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1386, rd_minus:   1328, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 30 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    412, rd_minus:    230, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 31 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    146, rd_minus:    144, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 32 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8628, rd_minus:   8946, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 33 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16614, rd_minus:  12442, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 34 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5816, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 35 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9264, rd_minus:   9612, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 36 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6488, rd_minus:   5768, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 37 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4308, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 38 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    338, rd_minus:    396, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 39 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    194, rd_minus:    210, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 40 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2652, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 41 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1568, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 42 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2540, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 43 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    396, rd_minus:    398, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 44 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    280, rd_minus:    282, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 45 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  60150, rd_minus:  51224, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 46 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  22596, rd_minus:  24076, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 47 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1458, rd_minus:   1436, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12212, rd_minus:  13642, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 49 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    724, rd_minus:    598, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 50 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7402, rd_minus:   7768, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 51 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16266, rd_minus:  17144, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 52 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3828, rd_minus:   3116, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 53 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1582, rd_minus:   1564, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 54 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9516, rd_minus:   9112, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 55 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10606, rd_minus:  11392, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 56 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4178, rd_minus:   3948, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 57 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2008, rd_minus:   2318, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 58 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4004, rd_minus:   4430, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 59 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  17592, rd_minus:  17208, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 60 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1764, rd_minus:   2212, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 61 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7810, rd_minus:   7656, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 62 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7140, rd_minus:   9194, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 63 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1916, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 64 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1272, rd_minus:    782, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 65 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1532, rd_minus:   1028, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 66 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1386, rd_minus:   1386, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 67 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3818, rd_minus:   3532, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 68 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12160, rd_minus:  10368, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 69 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    612, rd_minus:    622, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 70 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2764, rd_minus:   2882, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 71 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5464, rd_minus:   5372, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 72 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1444, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 73 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2692, rd_minus:   2488, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 74 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    318, rd_minus:    380, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 75 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4796, rd_minus:   2980, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 76 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2472, rd_minus:   3008, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 77 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    964, rd_minus:    872, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 78 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2000, rd_minus:   2892, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 79 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    964, rd_minus:   1012, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 80 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    282, rd_minus:    152, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 81 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2996, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 82 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    102, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 83 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    620, rd_minus:    578, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 84 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3492, rd_minus:   3224, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 85 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1912, rd_minus:   1780, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 86 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    988, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 87 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1000, rd_minus:    952, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 88 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1248, rd_minus:    728, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 89 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1212, rd_minus:   1212, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 90 / 2072, payload_bits 2048, end_bits 24
