Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:  19390, rd_minus:  19368, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9348, rd_minus:   9320, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    920, rd_minus:    956, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 3 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1096, rd_minus:    442, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7032, rd_minus:   6600, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 5 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4648, rd_minus:   4550, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 6 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1136, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 7 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2150, rd_minus:   2302, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 8 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1214, rd_minus:   1196, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 9 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    122, rd_minus:    112, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 10 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    622, rd_minus:    172, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 11 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    336, rd_minus:    302, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 12 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1834, rd_minus:    824, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 13 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    924, rd_minus:    464, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 14 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    282, rd_minus:    448, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 15 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1984, rd_minus:   1984, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 16 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5532, rd_minus:   5878, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 17 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9450, rd_minus:   9684, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 18 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3372, rd_minus:   3440, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 19 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4912, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 20 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4346, rd_minus:   3808, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 21 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1248, rd_minus:   1688, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 22 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5156, rd_minus:   5140, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 23 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4916, rd_minus:   5038, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 24 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3412, rd_minus:   3696, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 25 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1514, rd_minus:   2610, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 26 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3614, rd_minus:   3640, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 27 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4096, rd_minus:   4924, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 28 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1136, rd_minus:   1120, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 29 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6094, rd_minus:   6588, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 30 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    278, rd_minus:    458, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 31 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    172, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 32 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8770, rd_minus:   9236, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 33 / 2072, payload_bits 2048, end_bits 24
