Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   6920, rd_minus:   7136, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3030, rd_minus:   3166, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 2 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3354, rd_minus:   3362, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 3 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    206, rd_minus:    244, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1108, rd_minus:   1070, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 5 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    144, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 6 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     76, rd_minus:     92, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 7 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1984, rd_minus:   2044, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 8 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1620, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 9 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1496, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 10 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1066, rd_minus:    992, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 11 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2384, rd_minus:   2748, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 12 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1778, rd_minus:   1532, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 13 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2616, rd_minus:   2482, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 14 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    728, rd_minus:    656, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 15 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1848, rd_minus:   1664, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 16 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1322, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 17 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5468, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 18 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4272, rd_minus:   3680, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 19 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1824, rd_minus:   2060, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 20 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  27396, rd_minus:  28860, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 21 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2298, rd_minus:   2608, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 22 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11326, rd_minus:  11648, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 23 / 2072, payload_bits 2048, end_bits 24
