Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   8608, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  20542, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 2 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6848, rd_minus:   7848, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 3 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2420, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4324, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 5 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  11832, rd_minus:  12116, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 6 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5038, rd_minus:   5316, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 7 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3716, rd_minus:   4176, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 8 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  12968, rd_minus:  12662, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 9 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1200, rd_minus:   1244, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 10 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5254, rd_minus:   5608, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 11 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  13390, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 12 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3606, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 13 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6100, rd_minus:   5208, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 14 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    592, rd_minus:    486, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 15 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    874, rd_minus:    984, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 16 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3610, rd_minus:   4882, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 17 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  10372, rd_minus:  11468, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 18 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  10332, rd_minus:   9184, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 19 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4556, rd_minus:   5150, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 20 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    292, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 21 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    720, rd_minus:    692, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 22 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    804, rd_minus:    650, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 23 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2172, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 24 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5784, rd_minus:   5620, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 25 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    340, rd_minus:    366, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 26 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9008, rd_minus:   9328, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 27 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   9174, rd_minus:   9100, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 28 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2904, rd_minus:   2912, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 29 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7836, rd_minus:   7754, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 30 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  10076, rd_minus:  10078, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 31 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3244, rd_minus:   3244, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 32 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7088, rd_minus:   6920, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 33 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   7478, rd_minus:   7372, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 34 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   8142, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 35 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4290, rd_minus:   4134, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 36 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  16186, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 37 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  26044, rd_minus:  26452, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 38 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3112, rd_minus:   3864, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 39 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  12434, rd_minus:  16228, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 40 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   2404, rd_minus:   2278, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 41 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:    752, rd_minus:    658, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 42 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   5652, rd_minus:   5432, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 43 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   4780, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 44 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  30168, rd_minus:  26720, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 45 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   1692, rd_minus:   1428, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 46 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   3948, rd_minus:   4168, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 47 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:   6602, rd_minus:   4826, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 4120, payload_bits 4096, end_bits 24
[HIDE] rd_plus:  10662, rd_minus:  16108, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 49 / 4120, payload_bits 4096, end_bits 24
