path,embedded_bits,extracted_bits,different_bits,ber,exact_match,first_mismatch
angle_coeff_test\angle_all\Fallout4_1080p_60_High,53832,53832,0,0.00000000,YES,
angle_coeff_test\angle_all\Fallout4_1080p_60_Low,31485,31485,0,0.00000000,YES,
angle_coeff_test\angle_all\Fallout4_1080p_60_Middle,50217,50217,0,0.00000000,YES,
angle_coeff_test\angle_all\Johnny_720p_60_High,21298,21298,0,0.00000000,YES,
angle_coeff_test\angle_all\Johnny_720p_60_Low,13962,13962,0,0.00000000,YES,
angle_coeff_test\angle_all\Johnny_720p_60_Middle,17286,17286,0,0.00000000,YES,
angle_coeff_test\angle_all\speed_bag_1080p_30_High,15047,15047,0,0.00000000,YES,
angle_coeff_test\angle_all\speed_bag_1080p_30_Low,8852,8852,0,0.00000000,YES,
angle_coeff_test\angle_all\speed_bag_1080p_30_Middle,15047,15047,0,0.00000000,YES,
angle_coeff_test\angle_aware\Fallout4_1080p_60_High,53276,53276,0,0.00000000,YES,
angle_coeff_test\angle_aware\Fallout4_1080p_60_Low,31527,31527,0,0.00000000,YES,
angle_coeff_test\angle_aware\Fallout4_1080p_60_Middle,49588,49588,0,0.00000000,YES,
angle_coeff_test\angle_aware\Johnny_720p_60_High,20431,20431,0,0.00000000,YES,
angle_coeff_test\angle_aware\Johnny_720p_60_Low,13597,13597,0,0.00000000,YES,
angle_coeff_test\angle_aware\Johnny_720p_60_Middle,16644,16644,0,0.00000000,YES,
angle_coeff_test\angle_aware\speed_bag_1080p_30_High,14760,14760,0,0.00000000,YES,
angle_coeff_test\angle_aware\speed_bag_1080p_30_Low,8909,8909,0,0.00000000,YES,
angle_coeff_test\angle_aware\speed_bag_1080p_30_Middle,14760,14760,0,0.00000000,YES,
angle_coeff_test\angle_dct\Fallout4_1080p_60_High,53358,53358,0,0.00000000,YES,
angle_coeff_test\angle_dct\Fallout4_1080p_60_Low,31534,31534,0,0.00000000,YES,
angle_coeff_test\angle_dct\Fallout4_1080p_60_Middle,49056,49056,0,0.00000000,YES,
angle_coeff_test\angle_dct\Johnny_720p_60_High,20119,20119,0,0.00000000,YES,
angle_coeff_test\angle_dct\Johnny_720p_60_Low,13498,13498,0,0.00000000,YES,
angle_coeff_test\angle_dct\Johnny_720p_60_Middle,17140,17140,0,0.00000000,YES,
angle_coeff_test\angle_dct\speed_bag_1080p_30_High,14399,14399,0,0.00000000,YES,
angle_coeff_test\angle_dct\speed_bag_1080p_30_Low,8901,8901,0,0.00000000,YES,
angle_coeff_test\angle_dct\speed_bag_1080p_30_Middle,14399,14399,0,0.00000000,YES,
angle_test\catania\Fallout4_1080p_60_High,46960,46960,0,0.00000000,YES,
angle_test\catania\Fallout4_1080p_60_Low,27592,27592,0,0.00000000,YES,
angle_test\catania\Fallout4_1080p_60_Middle,43539,43539,0,0.00000000,YES,
