avif_file,yuv_file,status,avif_size,yuv_size,error
D:\碩士實驗\testdata\angle_coeff_test\angle_all\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6590612,933120000,
D:\碩士實驗\testdata\angle_coeff_test\angle_all\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,OK,1274984,933120000,
D:\碩士實驗\testdata\angle_coeff_test\angle_all\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,OK,4455033,933120000,
D:\碩士實驗\testdata\angle_coeff_test\angle_all\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3643623,414720000,
D:\碩士實驗\testdata\angle_coeff_test\angle_all\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,OK,1037878,414720000,
D:\碩士實驗\testdata\angle_coeff_test\angle_all\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,OK,1926647,414720000,
D:\碩士實驗\testdata\angle_coeff_test\angle_all\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_all\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,OK,4184858,466560000,
D:\碩士實驗\testdata\angle_coeff_test\angle_all\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_all\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,OK,789270,466560000,
D:\碩士實驗\testdata\angle_coeff_test\angle_all\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_all\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,OK,2937781,466560000,
D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6573528,933120000,
D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,OK,1272195,933120000,
D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,OK,4447504,933120000,
D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3617562,414720000,
D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,OK,1025910,414720000,
D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,OK,1913517,414720000,
D:\碩士實驗\testdata\angle_coeff_test\angle_aware\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,OK,4181472,466560000,
D:\碩士實驗\testdata\angle_coeff_test\angle_aware\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,OK,779900,466560000,
D:\碩士實驗\testdata\angle_coeff_test\angle_aware\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,OK,2936309,466560000,
D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6586736,933120000,
D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,OK,1271992,933120000,
D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,OK,4447448,933120000,
D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3611776,414720000,
D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,OK,1011972,414720000,
D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,OK,1921657,414720000,
D:\碩士實驗\testdata\angle_coeff_test\angle_dct\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,OK,4183023,466560000,
D:\碩士實驗\testdata\angle_coeff_test\angle_dct\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,OK,780889,466560000,
D:\碩士實驗\testdata\angle_coeff_test\angle_dct\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.avif,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,OK,2936571,466560000,
D:\碩士實驗\testdata\angle_test\catania\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\angle_test\catania\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6589868,933120000,
