experiment,video,quality,bitrate,fps,width,height,source_file,clean_file,steg_file,source_frames,clean_frames,steg_frames,SC_Frames,SC_Y_PSNR,SC_U_PSNR,SC_V_PSNR,SC_YUV_PSNR,SS_Frames,SS_Y_PSNR,SS_U_PSNR,SS_V_PSNR,SS_YUV_PSNR,CS_Frames,CS_Y_MSE,CS_Y_PSNR,CS_U_MSE,CS_U_PSNR,CS_V_MSE,CS_V_PSNR,CS_YUV_MSE,CS_YUV_PSNR,CS_Y_Different_Pixels,CS_U_Different_Pixels,CS_V_Different_Pixels,CS_Y_Max_Abs_Diff,CS_U_Max_Abs_Diff,CS_V_Max_Abs_Diff,CS_Worst_Frame,CS_Worst_Frame_Y_MSE,CS_Worst_Frame_Y_PSNR,CS_Worst_Frame_Y_Different_Pixels,CS_Worst_Frame_Y_Max_Diff,status
angle_coeff_test,Fallout4,High,8000,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,3602,300,300,300,38.50189898828167,44.064263849056644,42.54626721431325,39.58849400126619,300,38.28407435203908,43.845092457054676,42.41724657537997,39.37800978545689,300,6.697892219650206,39.8714220613641,1.4285487204218108,46.581853043538864,2.044043801440329,45.02590162888594,5.044026900077161,41.10302966843964,433473742,80464668,84188362,163,46,60,24,18.700859857253086,35.412187852044056,1651680,163,OK
angle_coeff_test,Fallout4,Low,1200,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,3602,300,300,300,33.60708874092834,40.085382323572496,38.21696773653788,34.78854331780895,300,33.53416331639573,40.050986362240494,38.1416378662047,34.717324332850005,300,16.273351413001542,36.01603358005639,2.9195225630144033,43.477685248994476,4.440715843621399,41.65627376817291,12.075607343106995,37.311713780384125,477055352,96262849,101521931,190,77,119,24,36.395743152006176,32.52029769353561,1702043,129,OK
angle_coeff_test,Fallout4,Middle,5000,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,3602,300,300,300,37.20771144919043,43.1285430608687,41.546076572541004,38.338973210744804,300,37.08217994955026,43.00117468082586,41.43609784926794,38.21457664771779,300,8.25556172035751,38.96333732239174,1.6479760416666667,45.96129467249287,2.418828928755144,44.294752068197354,6.1815086419753085,40.21985880127637,426848232,84523335,88830664,156,56,83,24,21.419650366512347,34.82267983313887,1562204,113,OK
angle_coeff_test,Johnny,High,5000,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,601,300,300,300,43.610530948537665,48.54231180197124,49.126748945552066,44.76255647134578,300,43.17596053066108,48.52267858290987,49.11782467967916,44.3806657530306,300,1.799020775462963,45.5804418217115,0.39802646122685187,52.13168415470608,0.36354014756944447,52.525279816974184,1.3262749517746915,46.90446793314874,140278188,19198896,18048753,34,30,22,234,2.076002604166667,44.958524669060836,478000,16,OK
angle_coeff_test,Johnny,Low,1200,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,601,300,300,300,42.031482608534944,47.54284943884271,48.11379316898342,43.25433918611668,300,41.825496121710124,47.52054208347439,48.07477967878248,43.068482676907955,300,2.0773964445891204,44.95560976866362,0.47424482060185186,51.37077764367449,0.43997816840277776,51.6964923342134,1.5373014612268519,46.26321320883033,123897233,17721013,17238658,67,34,30,292,2.673422309027778,43.86012793060235,449382,20,OK
angle_coeff_test,Johnny,Middle,2500,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_all\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,601,300,300,300,42.839162823626715,48.18403273626225,48.760664034961714,44.042606665807,300,42.55426285819493,48.05730044111101,48.737007982069535,43.78200929302344,300,1.8864598849826388,45.37432786377763,0.4374138165509259,51.721878639288505,0.3838720052083333,52.28893919568055,1.3945208936149691,46.68655335335966,136160195,19013246,17390338,41,35,23,292,2.279343532986111,44.552705757328724,484431,19,OK
angle_coeff_test,SpeedBag,High,8000,30,1920,1080,D:\碩士實驗\testdata\speed_bag_1080p.yuv,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_all\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,570,150,150,150,44.82257594060983,50.4505627017324,48.57959533394986,45.88803850630931,150,44.60690375588066,50.42826153936072,48.55504263839571,45.70024787140116,150,0.9765011766975309,48.23407589912817,0.2307639403292181,54.49912414874464,0.3413119598765432,52.79928854255304,0.7463467678326474,49.40139704487676,121293570,16192044,20825164,67,11,16,78,1.5443614969135802,46.243313953481795,965503,17,OK
angle_coeff_test,SpeedBag,Low,1200,30,1920,1080,D:\碩士實驗\testdata\speed_bag_1080p.yuv,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_all\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,570,150,150,150,42.59764664157396,49.22371838864311,47.105534264088064,43.7784424251402,150,42.5760870792265,49.247555856925764,47.15262950784795,43.76431438888139,150,1.3707126093106996,46.76133952959495,0.3174387088477366,53.11420476842426,0.4752237011316872,51.361822685117325,1.0459188078703703,47.93582388251053,143119146,19565346,24983770,51,12,20,78,3.035261863425926,43.308841956263294,1168679,37,OK
angle_coeff_test,SpeedBag,Middle,5000,30,1920,1080,D:\碩士實驗\testdata\speed_bag_1080p.yuv,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_all\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,570,150,150,150,44.34407281806723,50.27108516977143,48.33068749201645,45.44659198770213,150,44.15597819799581,50.233992289173614,48.31731811356028,45.28139414386183,150,1.0049577031893004,48.10932577378117,0.23842550154320988,54.35727655994406,0.3437686985596708,52.76814030871986,0.7670041688100138,49.28282636441401,123844814,16454207,21050477,67,10,14,78,1.7721079282407408,45.64590192294303,1013442,19,OK
angle_coeff_test,Fallout4,High,8000,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,3602,300,300,300,38.50189898828167,44.064263849056644,42.54626721431325,39.58849400126619,300,38.37779721850508,43.95387994154859,42.48208074911447,39.47022961422218,300,6.473556510416667,40.01937417373206,1.3502425733024692,46.826685636446385,1.992234162808642,45.13739977764725,4.8727837962962965,41.25303218552596,413603787,77449831,81236427,175,53,50,24,18.522852044753087,35.45372503147531,1583542,175,OK
angle_coeff_test,Fallout4,Low,1200,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,3602,300,300,300,33.60708874092834,40.085382323572496,38.21696773653788,34.78854331780895,300,33.52314301644067,40.03133792347674,38.171729529914195,34.70898311196597,300,16.165128755144032,36.045011927538724,2.9506175475823047,43.43167439995091,4.36148912037037,41.73445567391843,11.995436948088134,37.340642885817914,477049011,97154287,100312411,175,69,102,24,36.83951678240741,32.46766435871611,1701933,163,OK
angle_coeff_test,Fallout4,Middle,5000,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,3602,300,300,300,37.20771144919043,43.1285430608687,41.546076572541004,38.338973210744804,300,37.142549014820744,43.06109712578674,41.493007998254754,38.274646328547696,300,8.069428092849794,39.06237604946448,1.6028563143004115,46.08185768459705,2.3506320601851853,44.41895705684584,6.038533457647462,40.32148883933257,425376736,82743058,86267584,164,55,75,24,21.46327690972222,34.813843321864795,1557110,123,OK
angle_coeff_test,Johnny,High,5000,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,601,300,300,300,43.610530948537665,48.54231180197124,49.126748945552066,44.76255647134578,300,43.40602526290503,48.49025641199261,49.09515820003378,44.57890057614863,300,1.634062058738426,45.99811814634882,0.4031031105324074,52.0766421148229,0.36478877314814817,52.510388969868515,1.2173566864390433,47.276625153772855,136712548,19305637,18178061,30,29,23,229,1.9740288628472222,45.177268625425796,485753,17,OK
angle_coeff_test,Johnny,Low,1200,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,601,300,300,300,42.031482608534944,47.54284943884271,48.11379316898342,43.25433918611668,300,41.90556603981507,47.50760233624861,48.07081209745146,43.138477266893496,300,2.061513067853009,44.988942687455875,0.5065765625,51.084352682131914,0.4632655960648148,51.47250311892897,1.535982404996142,46.26694120079222,126726870,19098812,18289568,58,38,35,235,2.5213444010416666,44.114481890287536,476051,26,OK
angle_coeff_test,Johnny,Middle,2500,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,601,300,300,300,42.839162823626715,48.18403273626225,48.760664034961714,44.042606665807,300,42.720009952810614,48.164239269871125,48.716493663375076,43.93395622501149,300,1.7411784975405094,45.72237065613176,0.40739677372685185,52.03062775472723,0.37590416666666665,52.380032212399925,1.2913358217592592,47.02041162310877,128827924,17772303,16972011,48,30,21,288,2.008667534722222,45.10172300567697,450675,18,OK
angle_coeff_test,SpeedBag,High,8000,30,1920,1080,D:\碩士實驗\testdata\speed_bag_1080p.yuv,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,570,150,150,150,44.82257594060983,50.4505627017324,48.57959533394986,45.88803850630931,150,44.61525953551396,50.424219952795866,48.56243800133336,45.707824137992795,150,0.9725449684927984,48.25170669516159,0.230238683127572,54.509020682575915,0.3380423353909465,52.84109267467994,0.743076815414952,49.42046649682757,121261368,16154912,20704210,61,10,13,78,1.4750602816358025,46.44270591776217,907082,17,OK
angle_coeff_test,SpeedBag,Low,1200,30,1920,1080,D:\碩士實驗\testdata\speed_bag_1080p.yuv,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,570,150,150,150,42.59764664157396,49.22371838864311,47.105534264088064,43.7784424251402,150,42.5734474766125,49.238446896330075,47.13679164894061,43.76035999408637,150,1.3575166152263374,46.80335207058625,0.3051110725308642,53.28622392321541,0.4580207561728395,51.521952014512124,1.0321997149348423,47.993166260741454,140691376,18652284,23904784,64,11,21,78,2.9913768325617283,43.372092350336516,1143385,43,OK
angle_coeff_test,SpeedBag,Middle,5000,30,1920,1080,D:\碩士實驗\testdata\speed_bag_1080p.yuv,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_aware\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,570,150,150,150,44.34407281806723,50.27108516977143,48.33068749201645,45.44659198770213,150,44.14942527419882,50.25505120730134,48.31968445689295,45.277046496987495,150,1.0069760609567902,48.10061214761112,0.23475277777777778,54.424696209886605,0.3439636702674897,52.76567786423012,0.7677701153120713,49.27849157238192,124204066,16280090,20996410,61,10,16,78,1.758514660493827,45.679343675467486,959031,19,OK
angle_coeff_test,Fallout4,High,8000,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,3602,300,300,300,38.50189898828167,44.064263849056644,42.54626721431325,39.58849400126619,300,38.395257633099746,44.012568587608754,42.47942995848259,39.48844654547048,300,6.445714589763375,40.038092894208916,1.328266679526749,46.897950826584704,2.00316964377572,45.11362630627804,4.852382447059328,41.27125337819742,412463018,76222116,81814144,178,62,78,24,18.13243682484568,35.546241878552465,1571983,178,OK
angle_coeff_test,Fallout4,Low,1200,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,3602,300,300,300,33.60708874092834,40.085382323572496,38.21696773653788,34.78854331780895,300,33.52181061214427,40.030007578580175,38.16830856752255,34.707493946618555,300,16.19833282053755,36.03610042874669,2.9531841306584363,43.42789834852411,4.371823958333334,41.724176951162505,12.019723228523663,37.33185893343353,477421633,97337061,100614475,175,72,102,24,36.83951678240741,32.46766435871611,1701933,163,OK
angle_coeff_test,Fallout4,Middle,5000,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,3602,300,300,300,37.20771144919043,43.1285430608687,41.546076572541004,38.338973210744804,300,37.156904924074986,43.10256062024479,41.50878978682605,38.29061181070567,300,8.052065499614198,39.07173061863748,1.5682393068415639,46.176680259182454,2.3425634066358025,44.43389006012741,6.019844118655692,40.33495115338353,423274780,81098230,86208221,163,51,86,24,21.558839699074074,34.79454977537326,1559442,119,OK
angle_coeff_test,Johnny,High,5000,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_coeff_test\angle_dct\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,601,300,300,300,43.610530948537665,48.54231180197124,49.126748945552066,44.76255647134578,300,43.5191119057557,48.53737100338195,49.1133591329439,44.68184570664309,300,1.5580765986689815,46.20491556079811,0.3970172309027778,52.142710049269574,0.36487336516203706,52.50938198751104,1.16569949845679,47.46493751252749,132609661,19264107,18210612,41,29,22,263,1.8024641927083334,45.57213714973613,455676,17,OK
